Restaurant Name,Original food Item
Good Times Burgers & Frozen Custard,"Strawberry Lemonade, Large"
Bimbo,"Flaxseed Linaza, Multigrain"
Planet Wings,Planet Wings Blue Cheese Dressing
Tijuana Flats,"Quesadilla Cheese, Cheddar Jack"
Cracker Barrel,3 Cheese Pizza
Tom's,Cheese Puffs
Fratelli Mantova,"Red Pesto with Sundried Tomato, Organic"
Lifeway,"Kefir Cultured Milk Smoothie, Pomegranate Acai Blueberry"
Good Times Burgers & Frozen Custard,"Cookies N Cream Spoonbender, Small"
A&W (Canada),Cheese & Egger on Sesame Seed Bun
Mimi's Cafe,"Breakfast Add Ons and Sides, Banana Slices"
Sun Mail,Raisins
Baton Rouge Steakhouse & Bar,Baked Potato (fully loaded)
Blimpie,"Brisk Mango Iced Tea, 28 oz"
Planet Wings,Jamaican Beef Pattie
Cold Stone Creamery,"Cake Batter Ice Cream, Like It"
Merzi,Shrimp
Wg Grinders,Original Italian Grinder
Curves,"Dessert Bar, Chocolate Coconut Escape"
Quaker Steak & Lube,Grilled Boneless Wings and Pick-Up Pickles with Wing Sauce Choice Arizona Ranch
Ninety Nine Restaurants,99 Bacon and Cheese Burger (No Side)
Just FreshDirect,"Thin Crust Pizza, Sausage & Peppers"
Baton Rouge Steakhouse & Bar,Seafood Linguini
Wayback Burgers,Hot Dog
241 Pizza,BBQ Dipping Sauce
Pinkberry,"Chocolate Reduced-Fat Milk Ice Cream, Small"
East Side Mario's,"Feta Cheese, Lunch Pizza Topping"
Betty Crocker,"Fruit Roll-Ups, Blastin' Berry Variety"
Lion's Choice,"Vanilla Frozen Custard Dipped Cone, Large"
White Spot Restaurants,"Baby Back Ribs, Full Rack Only"
241 Pizza,Poutine
Port of Subs,Salad & Relish Supreme - 20-25 Guests
Duchess Shoppe,Plain Cake Donut
Safeway Select,"Pasta Sauce, Vodka"
Natural Sea,"Solid White Albacore, Wild Caught Tuna"
Our Family,"Cereal, Cocoa Crispy Rice"
Cereality,Maple Syrup
The Pickle Barrel,Rose Reisman'S Grilled Chicken Hummus Wrap
Safwa,Red Kidney Beans
Magic Wok,Vegetable Deluxe wtih Tofu
Wild Oats Marketplace,Organic Graham Teddy Bears
TacoTime,"Soft Taco, Chicken"
Chick-fil-A,Garden Herb Ranch Dressing
Wienerschnitzel,"Strawberry Pineapple Lemonade, 40 oz (without ice)"
Tim Horton's,Oatmeal Raisin Spice Cookie
Yogli Mogli,Green Tea
Uncle Ben's,"Ready Rice, Garden Vegetable"
Taco Bell Canada,Side of Nacho Cheese Sauce
Boneheads,Lemon-Herb Piri
Tropical Smoothie Cafe,Buffalo Chicken Bowl
Vocelli Pizza,Italiano Sub on Ciabatta
Familia,Swiss Balance All Natural Blueberries & Quinoa
Benny's,Smoked Chorizo Colombiano
Horizon,Chocolate 1% Lowfat Milk
Marvel,Chewy Granola Bars with Chocolate Chips
Taco Bell Canada,Chicken Chalupa Supreme
Roy Rogers Restaurants,Kids Cheeseburger
Furr's Family Dining,Blackened Tilapia with Pineapple Salsa
Kaley's,Dill Pickle
Coffee Time,Italian Wedding Soup
Harris Teeter,Low Fat 1% Cottage Cheese
Burrito Boyz,Three Steak Tacos
Christie's,Triscuit Seasoned with Cracked Pepper & Olive Oil
Bimbo,Chocolate Creme Sandwich Cookies
Mauna Loa,"Macadamias, Milk Chocolate Toffee"
TacoTime,Pickled Jalapeno
High Liner,Almond Crusted Haddock
Tropical Smoothie Cafe,Banana
Frullati Cafe & Bakery,Grilled Chicken Salad With Lo-Cal Italian
Taco Bueno,Mug Root Beer 30oz
Papa Murphy's,Thai Chicken - Medium Slice
Concord Foods,Greens & Kale Seasoning Mix
Tom and Chee,Tom+Chee
Dars,White Chocolate
Tubby's,Chicken Club (Regular)
Vocelli Pizza,Chicken Parmesan Pasta with Linguini - Party
Norman's,Vanilla Greek Creamy Blends
Vocelli Pizza,Steak Sub on Wheat
Mike's Restaurants,Vegetarian 12-Inch Thin Crust Pizza
Perkins Restaurant And Bakery,Kids' Classic Cheeseburger
Magic Wok,"Lo Mein, Beef"
DiGiorno,"Pizza & Breadsticks, Four Cheese Pizza & Cheesy Breadsticks"
Merci,Hazelnut Almonds Chocolate
Merci,Assortment of European Chocolates
The Habit Burger Grill,Tri-Tip Sandwich on Ciabatta
Jamba,"Matcha Green Tea Blast Smoothie, 16 fl. oz."
Tim Horton's,"Cappuccino, Small"
Moxie's Classic Grill,Chicken Chipotle Quesadilla
Frullati Cafe & Bakery,"Pepper Beef & Cheddar Panini Sandwich, Flatbread"
Drews,Ginger Dressing & Quick Marinade
Green Beans Coffee,"House Coffee, 20 oz"
Magic Wok,Steamed White Rice (8 oz)
GT's,Turmeric
Horizon,Chocolate Organic Lowfat Milk
Coffee Culture,Whole Wheat Bagel
Nalley Fresh,Greek Wrap
241 Pizza,"Cheese Pizza, Large Slice"
Safeway Select,"Pastry Puffs, Caramelized Onion & Gorgonzola"
Baskin Robbins,"Oreo 'N Chocolate Ice Cream, 2.5 oz Scoop"
Cold Stone Creamery,"Cinnamon Ice Cream, Gotta Have It"
La Boulangere,"French Crepes, Hazelnut Chocolate Filled"
Tropical Smoothie Cafe,Lean Machine Smoothie
Roy Rogers Restaurants,Fruit Cup
Koyo,"Ramen, Tofu Miso"
YoCream,Tiramisu Gelato
Our Family,"Cookies, Old Fashioned, Iced Oatmeal"
Yogli Mogli,Dulce de Leche
Tasti D-Lite,"Red Velvet Cake - Chocolate Soft Serve, 5 oz (Gallon Recipe)"
Kitchens Seafood,Breaded Popcorn Shrimp
Safeway Select,"Pasta, Pipe Rigate"
The Habit Burger Grill,Croutons
World of Beer,Cali Bowl with Blackened Ahi Tuna
Angy's,Tortellini with Cheese
Boneheads,Thai Chili Calamari
YoCream,Chocolate Gelato
YoCream,Irish Cream
Tom's,"Potato Chips Ridges, Mesquite BBQ"
Baskin Robbins,"Cappuccino Blast (Made With Soft Serve), Small"
Chick-fil-A,"Coca-Cola, Small"
YoCream,Chocolate Fudge
High Liner,"Cod, Roasted Lemon Pepper"
Taco Bell Canada,Chicken Soft Taco
Happy Joe's,"Chicken Taco Pan Crust Pizza, 6 inch"
Cafe Zupas,Diet Coke
Charley's Philly Steaks,Jalapeno Lime Seasoning
Kirkwood,"Chicken Breast Tenderloin, Fritter Style"
Concord Foods,"Seasoning Mix, Ranch Dip, Classic"
Mauna Loa,"Macadamias, Dark Chocolate"
Golden Spoon Frozen Yogurt,Just Chocolate Frozen Yogurt
Krispy Kreme,Dulce De Leche Doughnut
Moxie's Classic Grill,Mango Dressing (dipping sauce)
Tubby's,Garden Salad
Roy Rogers Restaurants,"Bacon, Egg & Cheese Sandwich on Crescent"
Ninety Nine Restaurants,99 Twin Catch (No Side)
Drew's,"Dressing, Rosemary Balsamic"
De Dutch Pannekoek House,Low Carb Platter (Sausage)
Tyson,Chicken Breasts
Boneheads,Classic Portabella Caesar Salad
The Habit Burger Grill,Spicy Red Pepper Sauce
Horizon,"Milk, Organic, Lowfat, 1%"
Yogli Mogli,Cappuccino
Tim Horton's,Sausage Breakfast Sandwich
Happy Joe's,"Pepperoni Original Crust Pizza, 12 inch"
Thundercloud Subs,"Ham Low-Fat Sub, Large"
Yoshinoya,Caramel Flan
The Hungry Hobo,Tomatoes
Planet Wings,Hot Gourmet Garlic Sauce
The Pickle Barrel,Baja Fish Taco
KA-ME,Japanese Thick Noodles
Sydney's,Chocolate Chip Brownie
Blimpie,"Barq's Caffine Free Root Beer, 12 oz"
Taco Bell Canada,Beef Crunchy Taco
Bimbo,Honey Wheat Bread
De Dutch Pannekoek House,"Benedict, Boeres with Salad"
Perkins Restaurant And Bakery,Sutter Home Chardonnay
Russo's New York Pizzeria,Russo's Famous Homemade Meatballs
Buddy's Bar-b-q,Big Hawg With Chicken
Planet Smoothie,"Planet Pro Veg (32G) Strawberry & Banana Smoothie, 32 oz"
Hoss's Family Steak And Sea House,Maryland Style Crab Cakes
Yoshinoya,Beef & Teriyaki Chicken Combo - Large
Pepperjax Grill,Green Peppers
Pretzelmaker,Cinnamon Sugar Pretzel
Gandy's,Vanilla Old Fashioned Style Ice Cream
Russo's New York Pizzeria,"House Salad, Large"
Duchess Shoppe,44 oz Diet Mountain Dew
Harris Teeter,100 Calorie Packs Lite Bites Chocolate Wafers
Tyson,"Wings, Smokey BBQ"
Green Beans Coffee,"Cafe Mocha, 20 oz"
Whitey's Ice Cream Grocery,White Chicken Chili with Beans
Mimi's Cafe,Malted Waffles with Turkey Sausage
Kirkwood,Raw Stuffed Broccoli & Cheese
Blimpie,"Fruitopia Strawberry Passion Fruit Awareness, 28 oz"
Fratelli Mantova,"Pasta, Organic Italian, Linguine No. 98"
Concord Foods,"Guacamole Mix, Extra Spicy"
Tijuana Flats,"Tijuana Vegetarian Burrito Filling, Nacho Chips"
World of Beer,"WOB Chicken Wings, 10 piece with Dry Rub"
Tropical Smoothie Cafe,Whole-Grain Oats
Perkins Restaurant And Bakery,BBQ Sauce
Pinkberry,"Strawberry Low-Fat Milk Ice Cream, Take Home"
Familia,"Granola Cereal, Low Fat"
TacoTime,Chicken Taco Salad
A&W (Canada),"Chocolate Milkshake, 12 oz"
Mimi's Cafe,Buttermilk Griddlecakes with Whipped Margarine
Cafe Zupas,"Salad Toppings, Egg Noodles"
Purebread Deli,French Baguette
America's Taco Shop,"Carne Asada Burrito, Large"
Perkins Restaurant And Bakery,Tremendous Twelve
Kirkwood,Chicken Rings
Frullati Cafe & Bakery,"Chocolate Covered Strawberry Smoothie, Large"
Pepperjax Grill,"Loaded Nachos, Vegetarian"
Crazy Bowls & Wraps,Kids Broccoli & Chicken Bowl
Roy Rogers Restaurants,"Orange Juice, 10 oz"
Mcmenamins,Hamburger
Fresh Gourmet,Crispy Jalapenos
Buddy's Bar-b-q,Hawg Back With Chili & Cheese
Drews,"Organic Salsa, Thick & Chunky, Hot"
Buffer's,Steak Mushroom Cheddar Flatbread Melt
Rachael Ray,Chicken Stock
Just Fresh,Huevos Wrap
Baskin Robbins,"World Class Chocolate Ice Cream, 4 oz Scoop"
Cold Stone Creamery,"Cake Batter Yogurt, Love It"
Betty Crocker,"Creamy Deluxe Frosting, Chocolate"
East Side Mario's,Mario's Mussels (East Coast Only)
Russo's New York Pizzeria,Chicken and Avocado Salad
Portillo's,"Vanilla Shake, Small"
Golden Spoon Frozen Yogurt,Peanut Butter Cup Frozen Yogurt
The Hungry Hobo,#7 Turkey Sandwich
Mauna Loa,Dark Chocolate Macadamias
Toops,Dulce De Leche Cereal
Duke's,Chile 'N Lime Beef Steak Strips
Furr's Family Dining,Fresh Mixed Fruit Salad with Sierra Mist
Maninis,Macaroni
Red Lobster,Cheddar Bar Biscuit Mix
Baton Rouge Steakhouse & Bar,Santa Fe Chicken
Sobey's,Balsamic Vinegar & Sweet Onion Flavour
Vocelli Pizza,Chocolate Chip Cookie
Tim Horton's,Strawberry Bloom Donut
Monini,"Blender Ready Fruit Smoothie, Mango"
Crazy Bowls & Wraps,Fajita Bowl - Regular
Roti,"Fresh Mint Black Tea, 24 oz"
Roy Rogers Restaurants,"Roast Beef Sliders, 3 Piece"
Jack Astor's Bar & Grill,"Buffalo Sauce, Medium"
Ameci Pizza & Pasta,Tuna Submarine
Tom's,"Potato Chips, Dill Pickle"
Horizon,2% Organic Reduced Fat Milk
Silver Mine Subs,Honey Mustard for Small Sub
Dolmas,"Grape Leaves, California Style"
Henry & Lisa's,Wild Alaskan Cod
Coffee Time,Carrot Muffin
Pretzelmaker,"Cherry Limeade, Regular"
Merzi,Create your own Salad
241 Pizza,"Canadian Supreme Plant Based Pizza, Medium Slice"
Duchess Shoppe,Grilled Buffalo Chicken
Camillo's,Pizza Crusts
Planet Smoothie,"Captain Kid Smoothie, 32 oz"
Henry & Lisa's,"Shrimp, Uncooked"
Tony Roma's,"Boneless Pork Ribs, Kansas City BBQ Sauce"
Baskin Robbins,"Ice Cream Soda (With Vanilla Ice Cream), Medium"
Papa Murphy's,Chicken Alfredo - Thin Large Slice
The Hungry Hobo,Chicken Noodle Soup
Natural Sea,"Chunk Light Tuna, Packed in Water"
The Hungry Hobo,Chocolate Pudding
White Spot Restaurants,"Benedicts and Bowls, Add 2 Slices of Toast"
Tai Pei,"Burrito, Chicken"
A&W (Canada),"Coleslaw, Regular"
Veggie Patch,Moroccan Red Lentil Cakes
Camillo's,"Pizza Crust, Thin & Crispy"
Tabatchnick,"Soup, Wilderness Wild Rice"
Taco Bell Canada,Bud Light Draft
Mandy's,"Cookie Thins, Simply Sugar"
Chickpea,Peppers
Top's,Pesto Sauce And Spread
Sea Pak Shrimp Co.,"Shrimp, Popcorn"
Uncle Ben's,Bistro Express Rice with Roasted Garlic Flavor
Tabatchnick,Balsamic Tomato & Rice Soup
Happy Joe's,"Sausage Pan Crust Pizza, 15 inch"
Weight Watchers,Salted Caramel Brownie Bliss
Jayone,"Premium Seaweed, Winter Harvest"
Moxie's Classic Grill,Sweet Potato Fries
Koyo,"Organic Millet Rice Cakes, Lightly Salted"
Lion's Choice,"Original Roast Beef Sandwich, No Bun or Seasoning"
Triple O's,Smoky BBQ Brisket Fries
Coffee Time,Honey Glaze Yeast Donut
Tyson,Grilled & Ready Chicken Breast Ternderloins
Cracker Barrel,Tex Mex
Mimi's Cafe,Iced Cappuccino with Vanilla
Natural Sea,Wild Premium Alaskan Pink Salmon
Baton Rouge Steakhouse & Bar,Pork Chop
Chick-fil-A,"Hot Chick-N-Strips Tray (Per Chick-N-Strip), Large"
Green Beans Coffee,"Cafe Latte, 24 oz"
Tom and Chee,Bell Pepper
Charley's Philly Steaks,"Pickles, Small Cheesesteak Topping"
Wild Oats Marketplace,Spaghetti & Beetballs
Furr's Family Dining,Cornbread Sage Dressing
Port of Subs,Classic Sub #10 - Flatbread
Coffee Time,English Toffee Steameez
Safeway Select,"Glaze, with Balsamic Vinegar of Modena"
TacoTime,Green Chili Pork Carnitas Enchiladas
El Rio,"Cheese Sauce, Nacho, Hot"
Port of Subs,White Chocolate Macadamia Nut Cookie
Firehouse Subs,Turkey Bacon Ranch - Large
Mcmenamins,Wilbur's Jumbo Deluxe Burger
Bimbo,Soft White Bread
Horizon,Whole Milk Plain Yogurt
Boneheads,Asian Slaw Piri Shrimp
Carson's,"Cookies, Peanut Butter Fudge Swirl"
Blimpie,"Croissant with Bacon, Egg & Cheese"
America's Taco Shop,Shrimp Ceviche
Curves,"Cereal, Whole Grain Crunch"
Montini,"Bread Crumbs, Plain"
Ninety Nine Restaurants,99 Gold Fever Toss Sauce (12 ct Wings)
Tim Horton's,"Dark Roast Coffee, X-Large"
Cold Stone Creamery,"Blueberry Yogurt, Gotta Have It"
The Habit Burger Grill,Vanilla Shake with Whipped Cream
Yogli Mogli,Hawaiian Pineapple
Chick-fil-A,"Strawberry Milkshake, Large"
Lifeway,"Organic Whole Milk Kefir Cultured Milk Smoothie, Plain"
Rachael Ray,"Oat-Tastically Good Instant Oatmeal, Apple Cranberry"
PF Changs,"Dumplings, Chicken and Vegetable"
Blimpie,"Hi-C Flashin' Fruit Punch, 21 oz"
Del Monte,Sliced Peaches
Horizon,"Organic Lowfat Milk, Chocolate"
Lion's Choice,Chocolate Chip Cookie
Port of Subs,Ultimate BLT - Flatbread
Sadaf,"Beans, Large Fava"
Port of Subs,New York Steak Melt - 12 inch Large
Lion's Choice,Jumbo All-Beef Chili Dog
Coffee Culture,"Italian Wedding Soup, Entree"
DiGiorno,"Pizza, Cheese Stuffed Crust, Three Meat"
Martel,Crabmeat
Vocelli Pizza,Boneless Wings - Hot Vesuvius Buffalo - Party Tray
Tom's,"Pork Skins, BBQ Flavored"
Taco Bueno,"$2.99 Meals, Party Quesadilla"
America's Taco Shop,Telera Bread (Torta)
Garden Fresh Gourmet,Original Salted Tortilla Chips
Boneheads,Blue Cheese Dressing Wings
Tasti D-Lite,"Mocha Shake, 24 oz"
Dell' Alpe,Grated Parmesan Cheese
Koyo,Organic Round Udon Asian Pasta
241 Pizza,Garden Salad
Crazy Bowls & Wraps,Pesto Bowl - Small
Pretzelmaker,"Coke, Large"
Our Family,"Cereal, Raisin Bran"
America's Taco Shop,Al Pastor Vampiros
Mrs. Friday's,Stuffed Shrimp Bakers
White Spot Restaurants,Seafood Fettucine
Rachael Ray,Porcini Steak Sauce
TacoTime,"Mexi Fries, Small"
Cracker Barrel,"Creamy Fudge, Chocolate"
Tropical Smoothie Cafe,Peanut Butter
Crazy Bowls & Wraps,Falafel
Taco Bueno,Chicken Quesadilla
KA-ME,Hoisin Sauce
Uncle Ben's,Basmati Rice
World of Beer,Avocado Toast
Duke's,Original Shorty Smoked Sausages
Wienerschnitzel,"Strawberry Pineapple Lemonade, 30 oz (without ice)"
Cold Stone Creamery,"Blueberry Banana Smoothie, 12 oz"
Coffee Time,Chocolate Chip Muffin
Jamba,"Mango-A-Go-Go Smoothie, 28 fl. oz."
Taco Bueno,"Bueno Chilada Platter Beef Beef Chilada, 2 each"
Furr's Family Dining,Sweet Carrot Casserole
Tijuana Flats,"Megajuana Vegetarian Burrito Tortilla Choice, Whole Wheat Tortilla"
America's Taco Shop,"Flour Tortilla, Regular, 12 inch"
Vocelli Pizza,Tuscan Grilled Chicken Salad - Regular
Firehouse Subs,Catering Salad Chopped Deluxe Turkey
A&W (Canada),A&W Root Beer Float Diet
Portillo's,Garbage Vinaigrette
Russo's New York Pizzeria,Garlic Bread with Cheese
Norman's,Strawberry Nonfat Yogurt
Chivers,BBQ Sauce
Kaizen,"Whey Isolate Protein Drink Mix, Decadent Chocolate Flavor"
Boneheads,Lemon Herb Chicken Breast Sandwich
Harris Teeter,Peach Pie Filling & Topping
Christie's,"Wheat Thins, Cracked Pepper & Olive Oil"
American Flatbread Grocery,Vegan Harvest
Tijuana Flats,Tijuana Bangin Chicken Burrito with Nacho Chips
Cracker Barrel,Extra Sharp Cheddar Cheese
Moxie's Classic Grill,Montreal Smoked Meat Sandwich
Frey's,Old Fashioned Hearth Baked Rye Bread
Green Beans Coffee,"Strawberry Banana Smoothie, 32 oz"
Five Guys,Marinara Sauce
Pinkberry,"Cookies n' Cream Yogurt, Large"
Planet Wings,Classic Caesar Salad with Grilled Chicken
Wg Grinders,BLT Grinder
Charley's Philly Steaks,Smokin Habanero Sauce
Whitey's Ice Cream Grocery,Chili with Beans
Triple O's,Breakfast Club with Sausage
Silver Mine Subs,"Buffalo Stampede Warm Sub, Medium"
Our Family,"Coconut, Shredded"
Chick-fil-A,Spicy Deluxe Sandwich with American
White Spot Restaurants,Back Bacon
Dare,Bear Paws Crackers Cheddar Flavor
Frullati Cafe & Bakery,"Pineapple Coconut Orange Smoothie, Small"
Concord Foods,Vegetable Dip Seasoning Mix
Kaizen,"Natural Whey Protein, Natural Vanilla Flavor"
Cereality,"Country Inn Crunch, Skim, Regular"
Thundercloud Subs,"BLT Sub, Small"
Del Monte,Leaf Spinach
Yoshinoya,Lemon Butter Sauce Only
Del Monte,Organic Tomato Paste
Triple O's,"Vanilla Milkshake, Small"
Purebread Deli,Thousand Island Dressing
Lifeway,"Bio Kefir Cultured Nonfat Milk Smoothie, Vanilla"
Moxie's Classic Grill,Asian Chopped Salad
KA-ME,Black Bean Sauce
Ramey's,White Bread
Planet Wings,Dino Nuggets
Tom and Chee,Kids Mac+Cheese
Tim Horton's,Lemon Shortbread Cookie with Raspberry Filling
The Hungry Hobo,MUG Root Beer
Weight Watchers,"Ice Cream Bars, Divine Triple Chocolate"
The Habit Burger Grill,Diet Coke
Duchess Shoppe,Spicy Cheese Quesadillia Tornado
Cold Stone Creamery,"Mint Ice Cream, Love It"
Kitchens Seafood,Stuffed Scallops
Tasti D-Lite,"Chocolate Covered Strawberry - Chocolate Soft Serve, 10 oz (Custom Blend)"
Burrito Boyz,"Corn, Whole Kernel"
Shaner's,Party Chicken Wings
Veggie Patch,Roasted Red Pepper Falafel
Hyson,Pelmeni Ukrainian
Harris Teeter,"Milk, Chocolate, Lowfat"
Tom's,Guava Bar-B-Que Sauce
Chaney's,Delicious & Nutritious Whole Milk
Drew's,Creamy Ranch Dressing
Tai Pei,Mini Vegetable Spring Rolls
Cafe Zupas,Strawberries And Cream Creme Brulee
Wg Grinders,Pasta Salad
Sally's,"Cereals, Cinnamon Plum"
A&W (Canada),"Apple Juice, 20 oz"
Cereality,Coffee Syrup
Elman's,Baby Dill Pickles with Garlic
Planet Wings,Classic Caesar Salad with Crispy Chicken
Cafe Zupas,"Sandwiches, Honey Bacon Club, White"
Jayone,Seasoned & Roasted Seaweed
Firehouse Subs,"Loaded Potato Soup, 6 oz"
Uncle Ben's,"Brown Rice & Quinoa, Roasted Red Pepper"
Duchess Shoppe,"Breakfast Sausage, Egg & Cheese 2.5oz Roller Bites"
Duck Donuts,"Coffee, Small"
Tai Pei,"Chicken Potstickers, Mini"
Duke's,Spicy Bar-B-Q Beef Brisket Strips
Boneheads,Classic Lemon-Herb Chicken Caesar Salad
Krispy Kreme,Glazed Blueberry Cake Doughnut
Planet Wings,Cajun Sauce
East Side Mario's,"Tomatoes, Large Pizza Topping"
Burrito Boyz,Chicken Breast
Christie's,Cheese Bits Crackers
Frullati Cafe & Bakery,"Mango Banana Smoothie, Large"
Vocelli Pizza,Tuscan Grilled Chicken Salad - Side
Wayback Burgers,Veggie Burger
Jamba,"Purely Orange Juice, 28 oz."
Concord Foods,"Smoothie, Orange"
Del Monte,"Sweet Peas, Low Sodium"
TacoTime,Enchilada Breakfast Burrito
Horizon,"Sandwich Crackers, Cheddar"
Tom and Chee,Peanut Butter
YoCream,Salted Caramel Pretzel
Concord Foods,"Guacamole Mix, Mild"
Moxie's Classic Grill,The Veggie Burger
Concord Foods,Hollandaise Sauce Mix Original
Port of Subs,Grilled Chicken Melt - 8 inch Medium
Vocelli Pizza,Cauliflower Crust Mac'N'Cheese Pizza Slice
Red Lobster,Cheddar Bay Biscuit Mix
Chickpea,Carrots
Tyson,"Stuffed Mini Bread Bowls, Chicken Bacon Club"
Concord Foods,Coleslaw Mix Original
Quaker Steak & Lube,Mac and Cheese Skillet with Tender Pork Carnitas
Furr's Family Dining,Double Crust Spiced Apple Cobbler
Weight Watchers,Multigrain Bread
Christine,Apple Pie
Stone's,Ground Beef
Jamba,"Orange Carrot Twist Juice, 16 oz."
Bruster's Real Ice Cream,"Black Cherry Ice Cream in a Dish, Small"
World of Beer,German Pretzel with WOB House Made Mustard
Crazy Bowls & Wraps,Poke Bowl
Perkins Restaurant And Bakery,Jackson Triggs Sauvignon Blanc
Sail,Raw Shrimp
Pampa,Long Grain White Rice
America's Taco Shop,"Horchata, 32 oz"
Boneheads,Peel and Eat Shrimp
YoCream,Fudge Brownie Batter
El Rio,"Cheese Sauce, Nacho, Mild"
Roti,Baked Pita Chips
Green Beans Coffee,"House Coffee, 16 oz"
Tropical Smoothie Cafe,Miss Vickie's Simply Sea Salt
Duchess Shoppe,32 oz Diet Dr Pepper
Earls,"Signature Top Sirloin, 8 Oz"
Buddy's Bar-b-q,"Turkey Sandwich, Regular"
Taco Bueno,"Bueno Values, Party Quesadilla"
Chickapea,"Organic Chickpea Lentil Mac & Cheese, Classic Cheddar"
Rushing Waters Fisheries,Chipotle Salmon Burger
Wayback Burgers,Kids Chocolate Milkshake
Safeway Select,"Dressing, Poppy Seed & Caramelized Onion"
Roy Rogers Restaurants,Baked Potato
Firehouse Subs,Boxed Lunch - Ham
Earls,Sauteed Button Mushrooms
De Dutch Pannekoek House,"Smoked Salmon, Red Onion & Brie Whole Grain"
Tyson,Breakfast Bread Bowls
Arcor Saic,Precooked Yellow Corn Meal
De Dutch Pannekoek House,"French Toast, Fruit Topping"
Frullati Cafe & Bakery,"Pineapple Strawberry Chiller, Large"
Tubby's,Pizza Burger (Regular)
KA-ME,"Water Chestnuts, Whole & Peeled"
Tabatchnick,Tuscany Lentil Soup
Lion's Choice,"Flavor Burst Custard Cone, Large"
Wild Oats Marketplace Organic,"Dark Sweet Cherries, Pitted"
Tabatchnick,Creamed Spinach
Planet Wings,Leapin' Lizard Sauce
Frullati Cafe & Bakery,Tuna Pecan Salad
Drew's,Sesame Orange Dressing & Quick Marinade
World of Beer,Brunch Burger with Burger Patty
Portillo's,Barnelli's Char-Broiled Chicken
Nick-N-Willy's Pizza,"Aegean Pizza, Medium"
Tabatchnick,Vegetable Soup
Kirkwood,Chicken Breasts
Wayback Burgers,Add Swiss Cheese
Perkins Restaurant And Bakery,French Fries
White Spot Restaurants,Brunch Burger without Sauce
Yogli Mogli,Euro White Peach White Tea
Taco Bell Canada,Mtn Dew Baja Blast (20 fl oz)
Earls,"Vegan Quinoa Andavocado Power Bowl, No Dressing"
Firehouse Subs,Rice Krispies Treat
Family's Best,Smoked Bacon
Pampa,Mushrooms Pieces & Stems
Perkins Restaurant And Bakery,Buffalo Hot Sauce
Wienerschnitzel,Chili Dog
Tyson,Grilled & Ready Grilled Chicken Breast Chunks
The Hungry Hobo,Ocean Spray Pineapple Peach Mango Juice Blend
Golden Spoon Frozen Yogurt,St. Patrick's Mint Frozen Yogurt
Del Monte,Pineapple Tidbits
Earl's,"Kettle Chips, Cheddar Cheese & Sour Cream"
Happy Joe's,"Sauerkraut Original Crust Pizza, 15 inch"
East Side Mario's,Kids Build Your Own - Pasta Arrabbiata
Back Yard Burgers,"Seasoned Fries, prepared, 4.5 oz. Regular"
Jamba,Brown Sugar Crumble
Nick-N-Willy's Pizza,"Garden Veggie Pizza, Medium"
Magic Wok,"Lo Mein, Tofu"
Moxie's Classic Grill,Mediterranean Scrambler
Back Yard Burgers,Black Jack Chicken Club
Nick-N-Willy's Pizza,"Caesar Salad with Chicken, Family"
Baton Rouge Steakhouse & Bar,Chicken Tortilla Soup
Russo's New York Pizzeria,Baked Ziti
Wienerschnitzel,Chili Cheese Fries Burrito
Tom and Chee,Strawberries
Christies,"Dressing, Lite, Greek"
Thundercloud Subs,"Genoa Salami Low-Fat Sub, Small"
Happy Joe's,"Green Pepper Pan Crust Pizza, 6 inch"
De Dutch Pannekoek House,DeTurkey Bacon & Eggs with Salad
Cereality,Pecans
Russo's New York Pizzeria,New York Calzone
Garden Fresh Gourmet,"Salsa, Thick & Chunky, Medium"
Sea Pak Shrimp Company,"Coconut Shrimp, Oven Crunchy"
Wienerschnitzel,Country Breakfast
The Hungry Hobo,"#17 Ham, Swiss Sandwich"
Lion's Choice,Hearty Chili
Coffee Culture,Power-Up Smoothie
Tasti D-Lite,"Peanut Butter 'n Jelly - Vanilla Soft Serve, 5 oz (Gallon Recipe)"
Vocelli Pizza,Meatball Marinara Pasta with Penne - Family
The Habit Burger Grill,Tartar Sauce
Tropical Smoothie Cafe,Supergreen Caesar Chicken Toasted Wrap
Chick-fil-A,"Chilled Chick-fil-A Nuggets Tray (Per Nugget), Small"
Rizzo's,Tri-Color Cheese Tortellini
Tai Pei,"Potstickers, Pork"
Papa Murphy's,Herb Chicken Mediterranean - Family Slice
High Liner,"Tilapia, Multigrain"
El Rio,"Beans, Refried"
Cafe Zupas,Crispy Marshmallow Bar
Duchess Shoppe,Bacon Cheeseburger 3 oz Roller Bites
Tasti D-Lite,"Acai - Vanilla Soft Serve, 10 oz (Custom Blend)"
Norman's,"Greek Yogurt, Madagascar Vanilla"
Burrito Boyz,"Large Whole Wheat Burrito, Steak"
Golden Spoon Frozen Yogurt,Banana Frozen Yogurt
Quaker Steak & Lube,"Big Rig Pork Platter, Family Style (1 serving) with Wing Sauce Choice Boom Boom"
Northern Chef,Salt & Pepper Calamari
Tasti D-Lite,"Greek Frozen Yogurt - Vanilla Soft Serve, 5 oz (Gallon Recipe)"
Duchess Shoppe,44 oz Diet Coke
Bruster's Real Ice Cream,"Graham Central Station Ice Cream in a Dish, Regular"
Kirkwood,"Chicken Breasts, Asparagus & Cheddar Cheese Stuffed"
